measurement,k,datasets,wins,rank_mean,median_xy_error_median,p90_xy_error_median,coverage_mean,median_vs_spatial_best_mean,median_vs_spatial_best_median,median_vs_spatial_same_k_median
seq_jaccard,16,1,0,62.0,307.29351806640625,525.8630981445312,0.9994501718213058,127.03838643969699,127.03838643969699,127.03838643969699
seq_jaccard,32,1,0,63.0,308.5144958496094,523.5838012695312,0.9995876288659794,127.54315155297648,127.54315155297648,119.42387865533884
seq_jaccard,12,1,0,64.0,309.3288879394531,528.9575805664062,0.9991752577319588,127.87982984568504,127.87982984568504,127.82071712911906
expression,16,1,0,65.0,309.90625,519.7914428710938,1.0,128.1185174204341,128.1185174204341,128.1185174204341
expression,32,1,0,66.0,310.39208984375,512.3038940429688,1.0,128.31936874397152,128.31936874397152,120.15068261540154
expression,24,1,0,67.0,310.6012268066406,516.1829833984375,1.0,128.40582817363247,128.40582817363247,125.25560275287046
expression,12,1,0,68.0,311.3135070800781,525.4268188476562,1.0,128.7002923627885,128.7002923627885,128.64080038572237
seq_jaccard,8,1,0,69.0,312.4714660644531,538.5260009765625,0.9987628865979381,129.17900483893828,129.17900483893828,127.33002621214153
expression,8,1,0,70.0,312.90191650390625,531.8016357421875,0.9995876288659794,129.35695759763775,129.35695759763775,127.50543187854976
expression,5,1,0,71.0,314.4095458984375,551.9165649414062,0.9991752577319588,129.98022751506218,129.98022751506218,122.6124564317953
seq_jaccard_all,24,1,0,72.0,315.24639892578125,518.825927734375,0.9995876288659794,130.32619139659758,130.32619139659758,127.12885302833057
seq_jaccard_all,8,1,0,73.0,315.3847961425781,534.6333618164062,0.9991752577319588,130.38340626796958,130.38340626796958,128.51718867495583
expression,4,1,0,74.0,315.5832824707031,564.2699584960938,0.9990378006872852,130.46546261271126,130.46546261271126,118.81572646675666
seq_jaccard,5,1,0,75.0,315.68060302734375,549.234375,0.9984879725085911,130.50569595886458,130.50569595886458,123.10813933606272
seq_jaccard_all,16,1,0,76.0,316.134521484375,524.3886108398438,0.9994501718213058,130.69335064393343,130.69335064393343,130.69335064393343
seq_jaccard_all,12,1,0,77.0,316.46875,532.3811645507812,0.9991752577319588,130.8315242428896,130.8315242428896,130.77104709946676
seq_jaccard,4,1,0,78.0,317.3116455078125,565.1846313476562,0.9978006872852234,131.17998614968005,131.17998614968005,119.46644759572362
seq_jaccard_all,32,1,0,79.0,317.5223388671875,517.7583618164062,0.9995876288659794,131.26708901008848,131.26708901008848,122.91075387821972
seq_jaccard_all,5,1,0,80.0,318.5190734863281,555.50634765625,0.9986254295532646,131.6791496305694,131.6791496305694,124.21507721382545
seq_jaccard,3,1,0,81.0,322.001708984375,583.1817016601562,0.9975257731958763,133.1189079340097,133.1189079340097,109.07210830997286
seq_jaccard_all,4,1,0,82.0,322.33258056640625,566.4544067382812,0.9983505154639175,133.2556937411575,133.2556937411575,121.35680769927127
expression,3,1,0,83.0,324.2453918457031,581.4586181640625,0.9984879725085911,134.04647012985117,134.04647012985117,109.83211427651227
seq_jaccard_all,3,1,0,84.0,326.1339416503906,586.3626708984375,0.9973883161512027,134.82721656865715,134.82721656865715,110.47182550505003
seq_jaccard_all,2,1,0,85.0,332.9519348144531,629.6522216796875,0.9969759450171821,137.64584696401815,137.64584696401815,107.6902660374447
expression,2,1,0,86.0,335.20196533203125,622.87451171875,0.9971134020618557,138.57603334800635,138.57603334800635,108.41801788296375
seq_jaccard,2,1,0,87.0,335.47613525390625,631.9599609375,0.996701030927835,138.68937808988198,138.68937808988198,108.50669564314148
seq_blast,16,1,0,88.0,347.05035400390625,600.2501831054688,1.0,143.47428238448654,143.47428238448654,143.47428238448654
seq_blast,12,1,0,89.0,347.5060729980469,597.4533081054688,0.9998625429553265,143.66268143061623,143.66268143061623,143.59627305817185
seq_blast,24,1,0,90.0,351.1474609375,601.0233764648438,1.0,145.16806967030286,145.16806967030286,141.60661027346026
morphology,32,1,0,91.0,352.7694091796875,573.1904907226562,0.9984879725085911,145.83860020694658,145.83860020694658,136.554656853878
seq_blast,32,1,0,92.0,354.3437194824219,603.1893920898438,1.0,146.48943671620071,146.48943671620071,137.1640617443738
seq_blast,8,1,0,93.0,354.5321044921875,624.8684692382812,0.9998625429553265,146.56731706922815,146.56731706922815,144.4694542084186
morphology,24,1,0,94.0,355.0479736328125,575.9066772460938,0.998213058419244,146.78058282130584,146.78058282130584,143.1795630712312
morphology,16,1,0,95.0,355.77154541015625,586.2678833007812,0.9976632302405498,147.0797150374536,147.0797150374536,147.0797150374536
morphology,12,1,0,96.0,358.36138916015625,591.4525146484375,0.9968384879725086,148.1503838013155,148.1503838013155,148.0819009791429
morphology,8,1,0,97.0,361.47760009765625,597.3177490234375,0.9950515463917525,149.43865832072854,149.43865832072854,147.2996970739167
morphology,5,1,0,98.0,364.11517333984375,615.4072265625,0.9935395189003436,150.52905896084752,150.52905896084752,141.99650236354054
seq_blast,5,1,0,99.0,366.7507629394531,665.2273559570312,0.9998625429553265,151.61863954217063,151.61863954217063,143.02432139502307
seq_jaccard_all,1,1,0,100.0,367.9559020996094,743.1934204101562,0.9956013745704467,152.1168568013725,152.1168568013725,51.35708466510819
seq_blast,4,1,0,101.0,367.97735595703125,679.1849365234375,0.9998625429553265,152.12572605265683,152.12572605265683,138.54186612502141
expression,1,1,0,102.0,369.75384521484375,722.99951171875,0.9954639175257732,152.86014547764188,152.86014547764188,51.608030814538736
morphology,4,1,0,103.0,369.8851013183594,630.7103881835938,0.9920274914089348,152.9144081373488,152.9144081373488,139.26012391499427
seq_jaccard,1,1,0,104.0,370.1786193847656,749.0126953125,0.9961512027491409,153.0357516065563,153.0357516065563,51.66731825328819
seq_blast,3,1,0,105.0,378.4101257324219,719.345458984375,0.9994501718213058,156.4387432835509,156.4387432835509,128.17941354926154
morphology,3,1,0,106.0,379.1379089355469,652.949951171875,0.99106529209622,156.73961654760373,156.73961654760373,128.42593661464466
morphology,2,1,0,107.0,389.58843994140625,686.7311401367188,0.9885910652920962,161.05997645879293,161.05997645879293,126.00882696712254
seq_blast,2,1,0,108.0,417.6304016113281,761.5712890625,0.9994501718213058,172.65281963220758,172.65281963220758,135.07874366284202
morphology,1,1,0,109.0,431.0029296875,794.8117065429688,0.9841924398625429,178.18116399855148,178.18116399855148,60.15681179338286
seq_blast,1,1,0,110.0,488.8087463378906,789.9189453125,0.9994501718213058,202.07869922904618,202.07869922904618,68.22500203821868
