measurement,k,datasets,wins,rank_mean,median_xy_error_median,p90_xy_error_median,coverage_mean,median_vs_spatial_best_mean,median_vs_spatial_best_median,median_vs_spatial_same_k_median
morphology_image,12,1,0,83.0,287.2666931152344,420.68109130859375,0.990506329113924,116.90147273187338,116.90147273187338,91.49760556917984
morphology_image_all,12,1,0,83.0,287.2666931152344,420.68109130859375,0.990506329113924,116.90147273187338,116.90147273187338,91.49760556917984
morphology,12,1,0,85.0,288.8677673339844,414.2743225097656,1.0,117.55302036552065,117.55302036552065,92.00756534128404
morphology,24,1,0,86.0,288.9094543457031,396.5037841796875,1.0,117.56998464707681,117.56998464707681,51.5220319860106
morphology,16,1,0,87.0,289.183837890625,405.21087646484375,1.0,117.68164339925207,117.68164339925207,75.69555622109638
morphology_image,2,1,0,88.0,289.24517822265625,566.5572509765625,0.9873417721518988,117.70660548265461,117.70660548265461,117.70660548265461
morphology_image_all,2,1,0,88.0,289.24517822265625,566.5572509765625,0.9873417721518988,117.70660548265461,117.70660548265461,117.70660548265461
morphology_image,8,1,0,90.0,290.31341552734375,497.3591003417969,0.9889240506329114,118.14131830226785,118.14131830226785,113.74890773604065
morphology_image_all,8,1,0,90.0,290.31341552734375,497.3591003417969,0.9889240506329114,118.14131830226785,118.14131830226785,113.74890773604065
morphology_image_histogram,12,1,0,92.0,293.04705810546875,439.06298828125,1.0,119.25375789573363,119.25375789573363,93.3387154806244
morphology_image_histogram,4,1,0,93.0,294.7264099121094,532.0748291015625,1.0,119.93716012834982,119.93716012834982,113.41586705548089
morphology_image_histogram,2,1,0,94.0,297.5762939453125,568.559814453125,1.0,121.09690349081076,121.09690349081076,121.09690349081076
morphology,8,1,0,95.0,298.01947021484375,436.467529296875,1.0,121.27725143865739,121.27725143865739,116.7682490987713
morphology,5,1,0,96.0,298.158447265625,461.035888671875,0.9984177215189873,121.33380732314255,121.33380732314255,120.43051118633909
morphology_image_histogram,5,1,0,97.0,298.607666015625,515.73828125,1.0,121.51661422248854,121.51661422248854,120.61195713963382
morphology_image_histogram,8,1,0,98.0,299.4557189941406,496.7043762207031,1.0,121.86172433973893,121.86172433973893,117.3309917112182
morphology_image_texture,2,1,0,99.0,299.5578918457031,567.0093383789062,0.9794303797468354,121.90330297418257,121.90330297418257,121.90330297418257
morphology_image_summary,3,1,0,100.0,301.09393310546875,558.2821044921875,0.990506329113924,122.52838583184435,122.52838583184435,103.82610534381395
morphology_image_summary,8,1,0,101.0,301.15533447265625,502.53607177734375,0.9936708860759493,122.55337275314083,122.55337275314083,117.99692512632149
morphology_image_summary,12,1,0,102.0,302.1859436035156,414.9930114746094,0.9936708860759493,122.97277301114445,122.97277301114445,96.24955116287582
morphology,4,1,0,103.0,302.4513244628906,477.9428405761719,0.995253164556962,123.08076817396461,123.08076817396461,116.38854901488733
morphology_image_summary,5,1,0,104.0,302.58056640625,523.5250854492188,0.9936708860759493,123.13336241436748,123.13336241436748,122.21666909504967
morphology_image_summary,1,1,0,105.0,304.2006530761719,611.618408203125,0.9857594936708861,123.79264705197484,123.79264705197484,44.64918786637837
morphology_image_summary,2,1,0,106.0,305.2969055175781,577.4662475585938,0.990506329113924,124.23876046490328,124.23876046490328,124.23876046490328
morphology_image_summary,4,1,0,107.0,310.7933349609375,542.8338623046875,0.9936708860759493,126.47549974618777,126.47549974618777,119.59870026636172
morphology,2,1,0,108.0,317.9677429199219,562.4602661132812,0.990506329113924,129.39508240747497,129.39508240747497,129.39508240747497
morphology,3,1,0,109.0,318.8871154785156,495.3507080078125,0.9936708860759493,129.7692156037859,129.7692156037859,109.96172158958713
morphology,1,1,0,110.0,408.2366027832031,617.9285888671875,0.9857594936708861,166.1294582079149,166.1294582079149,59.91911124212863
