dataset,measurement,label,k,seed,status,leaky,n_nodes,n_edges,coverage,real_spread,pred_spread,pred_spread_ratio,mean_xy_error,median_xy_error,p90_xy_error,center_median_error,median_vs_center,status_reason,runtime_sec,n_union_edges,n_directed_neighbors,mix_mode,k_expression,k_morphology,k_morphology_image,k_seq_jaccard_all,weight_expression,weight_morphology,weight_morphology_image,weight_seq_jaccard_all,spatial_median_xy_error_same_k,spatial_mean_xy_error_same_k,spatial_p90_xy_error_same_k,median_vs_spatial_same_k,spatial_best_k,spatial_best_median_xy_error,median_vs_spatial_best
breast_2fov_v2,morphology_image_summary,morphology_image_summary,4,,ok,False,7275,21157,0.9978006872852234,393.8709411621094,266.3900451660156,0.6763384076521015,265.80877685546875,240.54544067382807,486.469482421875,354.80535888671875,0.6779645085334778,,,,,,,,,,,,,,2.6560733318328857,3.214989423751831,6.024593830108643,90.56430701325333,16,2.41890287399292,99.44402615751004
breast_2fov_v2,morphology_image_summary,morphology_image_summary,5,,ok,False,7275,26228,0.9979381443298968,393.8709411621094,257.32080078125,0.6533124785038201,265.5856018066406,239.34521484375,481.974853515625,354.80535888671875,0.6745817065238953,,,,,,,,,,,,,,2.5642545223236084,3.1162643432617188,5.839629650115967,93.33910216793396,16,2.41890287399292,98.94784012086404
breast_2fov_v2,morphology_image_summary,morphology_image_summary,8,,ok,False,7275,41474,0.9986254295532646,393.8709411621094,241.75875854492188,0.613801967293187,268.07763671875,245.56005859375,478.4125061035156,354.80535888671875,0.6920979619026184,,,,,,,,,,,,,,2.4540281295776367,3.0592029094696045,5.835903644561768,100.06407654178496,16,2.41890287399292,101.51712217712992
breast_2fov_v2,morphology_image_summary,morphology_image_summary,12,,ok,False,7275,61987,0.9990378006872852,393.8709411621094,229.88699340820312,0.5836607106122771,271.7143249511719,251.40023803710932,475.5946350097656,354.80535888671875,0.708558201789856,,,,,,,,,,,,,,2.4200215339660645,3.1433322429656982,6.100075721740723,103.88347149337172,16,2.41890287399292,103.93151405129348
breast_2fov_v2,morphology_image_summary,morphology_image_summary,16,,ok,False,7275,82474,0.9990378006872852,393.8709411621094,222.00143432617188,0.5636400432871754,274.5599670410156,255.62158203125,472.9400024414063,354.80535888671875,0.7204558253288269,,,,,,,,,,,,,,2.41890287399292,3.290410280227661,6.449787139892578,105.67666225030835,16,2.41890287399292,105.67666225030835
breast_2fov_v2,morphology_image_summary,morphology_image_summary,24,,ok,False,7275,123447,0.9991752577319588,393.8709411621094,212.11045837402344,0.5385278176353787,278.676025390625,261.8903503417969,475.1194763183594,354.80535888671875,0.7381240129470825,,,,,,,,,,,,,,2.479739189147949,3.61443305015564,7.475117683410644,105.61205448052937,16,2.41890287399292,108.2682372895322
breast_2fov_v2,morphology_image_summary,morphology_image_summary,32,,ok,False,7275,164509,0.9991752577319588,393.8709411621094,205.4951629638672,0.521732226189516,281.7836608886719,266.4162292480469,476.0115356445313,354.80535888671875,0.7508799433708191,,,,,,,,,,,,,,2.5833568572998047,4.003076076507568,8.625261306762695,103.12792384653834,16,2.41890287399292,110.1392834381438
breast_2fov_v2,morphology_image_texture,morphology_image_texture,1,,ok,False,7275,5684,0.9956013745704468,393.8709411621094,368.1297607421875,0.9346456472671658,263.5491638183594,194.88357543945312,634.5682983398438,354.80535888671875,0.5492689609527588,,,,,,,,,,,,,,7.164657115936279,6.741123676300049,11.255999565124512,27.20068417593571,16,2.41890287399292,80.56692872407721
breast_2fov_v2,morphology_image_texture,morphology_image_texture,2,,ok,False,7275,10986,0.9968384879725086,393.8709411621094,309.3871459960937,0.785503863481912,254.4783477783203,217.99856567382807,517.0177001953125,354.80535888671875,0.614417314529419,,,,,,,,,,,,,,3.091755151748657,3.9346635341644287,8.121748924255371,70.50964742487157,16,2.41890287399292,90.12290986035936
breast_2fov_v2,morphology_image_texture,morphology_image_texture,3,,ok,False,7275,16193,0.9972508591065292,393.8709411621094,285.6976928710937,0.7253586467388218,254.74180603027344,221.7677154541016,498.9139404296875,354.80535888671875,0.6250404715538025,,,,,,,,,,,,,,2.952191114425659,3.467186689376831,6.34485387802124,75.11970155673538,16,2.41890287399292,91.68111619464332
